"Front";"Back";"Tags";"Difficulty";"Source"
"State Satz A.3.10: 1.1. Körperaxiome.";"\sqrt 2 ist irrational, d. h. sie lässt sich nicht als Bruch p q mit p, q \in N schreiben.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-1 ch-1";"3";"PDF p5; section 1.1. Körperaxiome"
"Define Körperaxiome (Def 1.1.1).";"A field-like structure has operations $+$ and $\cdot$ satisfying associativity, commutativity, distributivity, neutral elements $0,1$, additive inverses, and multiplicative inverses for nonzero elements.\n\nIntuition: This is the algebraic rulebook that makes the usual manipulation of numbers legitimate.";"definition sec-1-1 ch-1 high-yield";"2";"PDF p6; section 1.1. Körperaxiome"
"State Satz 1.1.2: 1.1. Körperaxiome.";"(a) Das Nullelement und das Einselement sind eindeutig bestimm t. (b) Für alle a, b \in K hat die Gleichung x+ a = b genau eine Lösung x0 = b+ (− a) = : b− a. Für alle a, b \in K , a ̸= 0 hat die Gleichung ax = b genau eine Lösung x0 = a− 1b = : b a . Insbesondere ist das zu a (bzw. a ̸= 0) additive (bzw. multiplikative) Inverse eindeutig bestim mt. (c) Es gelten die folgenden Rechenregeln: − (− a) = a , (− a) + (− b) = − (a + b) (a− 1)− 1 = a , a− 1b− 1 = (ab)− 1 (a, b ̸= 0) a ·0 = 0 , a ·(− b) = − ab , (− a)(− b) = ab a(b − c) = ab − ac (d) Aus ab = 0 folgt a = 0 oder b = 0.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-1 ch-1";"3";"PDF p7; section 1.1. Körperaxiome"
"Define total angeordneter Körper (Def 1.2.1).";"A field $K$ is totally ordered if a positive cone $P\subset K$ trichotomizes each $x$ into $x\in P$, $x=0$, or $-x\in P$, and is closed under addition and multiplication.\n\nIntuition: A compatible order lets algebra and inequalities work together.";"definition sec-1-2 ch-1 high-yield";"2";"PDF p9; section 1.2. Anordnungsaxiome"
"State Satz 1.2.2: Rechenregeln für Ungleichungen.";"Sei K ein total angeordneter Körper . Für alle x, y, z, t \in K gilt: (a) x < y und y < z ⇒ x < z (Transitivität) (b) x < y ⇒ x + z < y + z (c) x < y ⇒ − y < − x (d) x < y und z > 0 ⇒ xz < yz; x < y und z < 0 ⇒ xz > yz (e) x ̸= 0 ⇒ x2 > 0. Insbesondere 1 > 0. (f) x > 0 ⇒ 1 x > 0; x < 0 ⇒ 1 x < 0 (g) 0 < x < y ⇒ 0 < 1 y < 1 x , x y < 1 , y x > 1 (h) x < y und z < t ⇒ x + z < y + t (i) 0 < x < y, 0 < z < t ⇒ 0 < xz < yt (j) x < y und 0 < \lambda < 1 ⇒ x < \lambdax + (1 − \lambda)y < y.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-2 ch-1 rechenregeln für ungleichungen";"3";"PDF p9; section 1.2. Anordnungsaxiome"
"Define unnamed definition in 1.2 (Def 1.2.3).";"Sei K ein total angeordneter Körper. Ein Element x \in K wird nichtnega- tiv genannt, geschrieben x \ge 0 ( x größer-gleich 0), wenn x > 0 oder x = 0. Wir definieren eine ANALYSIS I-III, 2011/2013 8 zweistellige Relation \le auf K durch x \le y :⇐ ⇒ y − x \ge 0 ( x kleiner-gleich y). Die Relation \le ist eine Ordnungsrelation, d.h. (a) x \le x (Reflexivität) (b) x \le y und y \le z ⇒ x \le z (Transitivität) (c) x \le y und y \le x ⇒ x = y (Antisymmetrie) Eine ganz wichtige (aber einfache) Ungleichung ist (1.2) x2 + y2 2 \ge x y, für alle x, y \in K, wobei die Gleichheit genau dann auftritt, wenn x = y. Das folgt aus ( x − y)2 \ge 0 mit Gleichheit genau dann, wenn x = y. Die Ungleichung (1.2) ist ein Spezialfall der AGM-Ungleic hung, die wir später beweisen.\n\nIntuition: This definition gives precise language for the topic of order axioms, positivity, inequalities, sign, absolute value, and triangle-type estimates.";"definition sec-1-2 ch-1";"1";"PDF p9; section 1.2. Anordnungsaxiome"
"Define Vorzeichen und Absolutbetrag (Def 1.2.4).";"Sei K ein total angeordneter Körper. Sei x \in K . Man nennt sgn(x) =        1 x > 0 0 x = 0 − 1 x < 0 das Vorzeichen von x. Der Betrag von x ist | x| := x ·sgn(x) =        x x > 0 0 x = 0 − x x < 0 d.h. | x| = { x , x \ge 0 − x , x < 0 . Der Abstand zweier Zahlen x, y \in K ist definiert als | x − y| . Hier ist eine Skizze des Graphen der Funktion f : K → K , f (x) = | x| . x y 0 x− x | x| f (x) = | x|\n\nIntuition: This definition gives precise language for the topic of order axioms, positivity, inequalities, sign, absolute value, and triangle-type estimates.";"definition sec-1-2 ch-1 vorzeichen und absolutbetrag";"1";"PDF p10; section 1.2. Anordnungsaxiome"
"State Satz 1.2.5: Rechenregeln.";"Sei K ein total angeordneter Körper . Für alle x, y \in K gilt: (a) | x| \ge 0 and x ̸= 0 \Longleftrightarrow | x| > 0, (b) || x|| = | x| , | − x| = | x| , (c) | x| \le y \Longleftrightarrow − y \le x \le y \Longleftrightarrow x \le y und − x ≤ y, (d) | x + y| \le | x| + | y| , ⏐ ⏐| x| − | y| ⏐ ⏐ \le | x − y| (Dreiecksungleichungen), (e) | x| \le | y| \Longleftrightarrow x2 \le y2, (f) x = y \Longleftrightarrow | x| = | y| und sgn(x) = sgn( y), (g) sgn( x y) = sgn(x) ·sgn( y), | x y| = | x| · |y| , ANALYSIS I-III, 2011/2013 9\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-1-2 ch-1 rechenregeln";"3";"PDF p10; section 1.2. Anordnungsaxiome"
"Define induktiv (Def 1.3.1).";"Sei K ein total angeordneter Körper. Eine Menge M \subset K heißt induktiv, falls (a) 1 \in M, (b) Wenn x \in M, dann gilt auch x + 1 \in M. ANALYSIS I-III, 2011/2013 10 Die Menge K oder die Menge der positiven Zahlen K+ sind induktiv . Es ist klar, dass eine induktive Menge mindestens die Elemente 1 , 2 := 1+ 1 > 1, 3 := 2+ 1 > 2, . . .enthalten muss: Eben die natürlichen Zahlen nach unserem naiven Verständnis. Es gibt viele induk tive Mengen, z.B. M = {x \ge 1}. Uns interessiert die kleinste solche Menge, im Sinne der Inklus ion der Mengen.\n\nIntuition: This definition gives precise language for the topic of construction of natural numbers inside an ordered field, induction, powers, integers, families, sums, and products.";"definition sec-1-3 ch-1";"1";"PDF p11; section 1.3. Natürliche Zahlen und vollständige Induktion"
"Define unnamed definition in 1.3 (Def 1.3.2).";"Die Menge der natürlichen Zahlen ist definiert als Durchschnitt aller in- duktiven Teilmengen von K: N := { x \in K : Für jede induktive Menge M \subset K gilt x \in M } = \bigcap { M : M \subset K, M induktiv } . Per Definition für jede induktive Teilmenge M von K gilt N \subset M. Diese Definition erfüllt unsere Vorstellung, dass N besteht aus 1 , 2, 3 . . .und nichts anderes enthält. Zudem ist diese Definition auch mathematisch brauchbar.\n\nIntuition: This definition gives precise language for the topic of construction of natural numbers inside an ordered field, induction, powers, integers, families, sums, and products.";"definition sec-1-3 ch-1";"1";"PDF p12; section 1.3. Natürliche Zahlen und vollständige Induktion"
